"","id","YEAR","CAUSE","NUM_U"
"1","AK",2006,"U",167
"2","AL",2006,"U",1081
"3","AR",2006,"U",2172
"4","AZ",2006,"U",855
"5","CA",2006,"U",4651
"6","CO",2006,"U",866
"7","CT",2006,"U",1284
"8","DE",2006,"U",319
"9","FL",2006,"U",7516
"10","GA",2006,"U",2749
"11","HI",2006,"U",626
"12","IA",2006,"U",429
"13","ID",2006,"U",517
"14","IL",2006,"U",3589
"15","IN",2006,"U",1091
"16","KS",2006,"U",1527
"17","KY",2006,"U",1505
"18","LA",2006,"U",1429
"19","MA",2006,"U",2123
"20","MD",2006,"U",2300
"21","ME",2006,"U",237
"22","MI",2006,"U",1264
"23","MN",2006,"U",2203
"24","MO",2006,"U",2820
"25","MP",2006,"U",232
"26","MS",2006,"U",2705
"27","MT",2006,"U",397
"28","NA",2006,"U",33
"29","NC",2006,"U",2132
"30","ND",2006,"U",159
"31","NE",2006,"U",229
"32","NH",2006,"U",263
"33","NJ",2006,"U",1648
"34","NM",2006,"U",325
"35","NV",2006,"U",616
"36","NY",2006,"U",1306
"37","OH",2006,"U",4619
"38","OK",2006,"U",3665
"39","OR",2006,"U",3938
"40","PA",2006,"U",746
"41","PR",2006,"U",514
"42","SC",2006,"U",2205
"43","SD",2006,"U",339
"44","TN",2006,"U",3040
"45","TX",2006,"U",9036
"46","UT",2006,"U",535
"47","VA",2006,"U",2627
"48","VT",2006,"U",94
"49","WA",2006,"U",1712
"50","WI",2006,"U",496
"51","WV",2006,"U",538
"52","WY",2006,"U",55
"53","AK",2007,"U",188
"54","AL",2007,"U",1536
"55","AR",2007,"U",1600
"56","AZ",2007,"U",913
"57","CA",2007,"U",6651
"58","CO",2007,"U",788
"59","CT",2007,"U",1508
"60","DC",2007,"U",3
"61","DE",2007,"U",283
"62","FL",2007,"U",5549
"63","GA",2007,"U",4812
"64","HI",2007,"U",430
"65","IA",2007,"U",497
"66","ID",2007,"U",614
"67","IL",2007,"U",3670
"68","IN",2007,"U",1500
"69","KS",2007,"U",961
"70","KY",2007,"U",1723
"71","LA",2007,"U",689
"72","MA",2007,"U",2906
"73","MD",2007,"U",2569
"74","ME",2007,"U",341
"75","MI",2007,"U",1279
"76","MN",2007,"U",2163
"77","MO",2007,"U",2536
"78","MP",2007,"U",9
"79","MS",2007,"U",2235
"80","MT",2007,"U",430
"81","NA",2007,"U",4
"82","NC",2007,"U",3549
"83","ND",2007,"U",164
"84","NE",2007,"U",238
"85","NH",2007,"U",618
"86","NJ",2007,"U",2067
"87","NM",2007,"U",468
"88","NV",2007,"U",456
"89","NY",2007,"U",1533
"90","OH",2007,"U",5493
"91","OK",2007,"U",1977
"92","OR",2007,"U",3910
"93","PA",2007,"U",848
"94","PR",2007,"U",336
"95","RI",2007,"U",61
"96","SC",2007,"U",3107
"97","SD",2007,"U",253
"98","TN",2007,"U",3554
"99","TX",2007,"U",6326
"100","UT",2007,"U",581
"101","VA",2007,"U",3339
"102","VT",2007,"U",86
"103","WA",2007,"U",1691
"104","WI",2007,"U",614
"105","WV",2007,"U",663
"106","WY",2007,"U",67
"107","AK",2008,"U",153
"108","AL",2008,"U",1479
"109","AR",2008,"U",1460
"110","AZ",2008,"U",764
"111","CA",2008,"U",5884
"112","CO",2008,"U",1122
"113","CT",2008,"U",1490
